Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Symbol
06-Jun-2025,EQ,229.33,232.6,223.15,229.31,228.79,227.34,228.07,348.0,158.2,"1,67,624","3,82,29,514.33","5,008",20MICRONS
05-Jun-2025,EQ,219.4,233.65,219.4,217.56,229.5,229.31,228.8,348.0,158.2,"4,26,424","9,75,66,807.96","9,404",20MICRONS
04-Jun-2025,EQ,221.1,221.99,215.05,220.01,217.11,217.56,217.87,348.0,158.2,"1,22,286","2,66,42,043.81","3,807",20MICRONS
03-Jun-2025,EQ,222.35,229.74,218.82,222.35,220.6,220.01,223.99,348.0,158.2,"2,23,151","4,99,82,518.88","5,425",20MICRONS
02-Jun-2025,EQ,224.2,226.02,217.35,225.84,221.55,222.35,221.68,348.0,158.2,"2,34,470","5,19,77,496.74","5,981",20MICRONS
06-Jun-2025,EQ,65.73,67.38,65.1,66.06,67.3,67.23,66.58,141.4,47.65,"11,278","7,50,923.10",279,21STCENMGM
05-Jun-2025,EQ,67.01,68.2,65.55,66.89,67.7,66.06,66.32,141.4,47.65,"5,481","3,63,516.77",253,21STCENMGM
04-Jun-2025,EQ,66.82,68.45,66.82,68.19,66.82,66.89,67.24,141.4,47.65,"6,925","4,65,650.28",128,21STCENMGM
03-Jun-2025,EQ,68.19,69.5,68.19,69.59,68.19,68.19,68.29,141.4,47.65,"12,538","8,56,273.00",129,21STCENMGM
02-Jun-2025,EQ,69.6,69.6,69.59,71.02,69.59,69.59,69.59,141.4,47.65,"5,640","3,92,490.17",59,21STCENMGM
06-Jun-2025,EQ,"29,630.00","29,700.00","29,270.00","29,630.00","29,325.00","29,360.00","29,416.60","40,856.50","25,718.15","2,253","6,62,75,605.00","1,143",3MINDIA
05-Jun-2025,EQ,"29,695.00","29,855.00","29,555.00","29,695.00","29,625.00","29,630.00","29,686.64","40,856.50","25,718.15","1,374","4,07,89,450.00",791,3MINDIA
04-Jun-2025,EQ,"29,830.00","30,300.00","29,640.00","29,830.00","29,660.00","29,695.00","29,931.41","40,856.50","25,718.15","5,912","17,69,54,480.00","2,969",3MINDIA
03-Jun-2025,EQ,"29,325.00","29,960.00","29,260.00","29,295.00","29,680.00","29,830.00","29,735.95","40,856.50","25,718.15","5,250","15,61,13,760.00","2,259",3MINDIA
02-Jun-2025,EQ,"29,290.00","29,440.00","28,830.00","29,275.00","29,300.00","29,295.00","29,213.77","40,856.50","25,718.15","2,833","8,27,62,610.00","2,071",3MINDIA
